trade_uti,action,event,err_lei,cpty1_lei,cpty2_lei,asset_class,notional,notional_ccy,exec_ts,event_ts,report_ts,effective,maturity,terminated_on,valuation,valuation_ccy,valuation_ts,im_posted,im_collected,vm_posted,vm_collected,portfolio_code,clearing_status,ccp_lei,coll_category,nature,trading_capacity,ma_type,valuation_type,intragroup
OPENDQI-MAE-NCLRWITHCCP-0011,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,ABCDEFGHIJKLMNOPQR04,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-NOCLEAR-0012,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,,,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-BADCLEAR-0013,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,BOGUS,,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-NOINTRA-0014,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,MTMA,
OPENDQI-MAE-BADACTION-0015,FOOO,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-BADEVENT-0016,NEWT,ZZZZ,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-BADVALTYPE-0017,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,BB,false
OPENDQI-MAE-BADTRADCAP-0018,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,XYZ,ISDA,MTMA,false
OPENDQI-MAE-BADASSETCLS-0019,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,BOGUS,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-BADNATURE-0020,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,X,PRIN,ISDA,MTMA,false
OPENDQI-MAE-BADMA-0021,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,XYZ,MTMA,false
OPENDQI-MAE-BADCOLLCAT-0022,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,XYZ,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-EVENTBEFEXEC-0023,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-02T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-02T18:00:00.000Z,2026-04-03,2031-04-03,,150.50,EUR,2026-04-02T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-PASTMAT-0024,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2023-01-01T09:00:00.000Z,2023-01-01T09:00:00.000Z,2023-01-01T18:00:00.000Z,2023-01-02,2024-01-01,,150.50,EUR,2023-01-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-TERMAFTMAT-0025,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2027-05-01,2027-06-01,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-EFFAFTMAT-0026,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2031-04-02,2026-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-ETRMNODATE-0027,ETRM,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-NONATURE-0028,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,,PRIN,ISDA,MTMA,false
OPENDQI-MAE-NOTRADCAP-0029,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,,ISDA,MTMA,false
OPENDQI-MAE-NOMA-0030,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,,MTMA,false
OPENDQI-MAE-NOASSETCLS-0031,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,MTMA,false
