trade_uti,prior_uti,action,event,err_lei,cpty1_lei,cpty2_lei,asset_class,product_id,underlying_id,notional,notional_ccy,price,price_ccy,exec_ts,event_ts,report_ts,effective,maturity,terminated_on,valuation,valuation_ccy,valuation_ts,im_posted,im_collected,vm_posted,vm_collected,portfolio_code,clearing_status,ccp_lei,coll_category,nature,trading_capacity,ma_type,ma_version,valuation_type,intragroup,hedging,leg2_notional,leg2_ccy,leg1_freq,leg2_freq,mtm_change
OPENDQI-T2-MTMNOVAL-0011,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,,,,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-IRNONOT-0012,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-FXNOLEG2-0013,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,FX,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,,,3M,3M,10.00
OPENDQI-T2-EQNOUND-0014,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,EQ,SRACA,,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-CRNOUND-0015,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,CR,SRACA,,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-CONOPROD-0016,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,CO,,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-IRNOFREQ-0017,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,,3M,10.00
OPENDQI-T2-NOPROD-0018,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-VALUNOVAL-0019,,VALU,VALU,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,,,,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,
OPENDQI-T2-NEWTPRIOR-0020,OLD-UTI-X,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-POSCNOPORT-0021,,POSC,UPDT,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-MARUNOPORT-0022,,MARU,UPDT,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-NEWTTERMD-0023,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,2026-04-05,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-ETRMNOVAL-0024,,ETRM,TERM,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,2026-05-01,,,,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-NOTPREC-0025,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1234567890123456789,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-VALPREC-0026,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.123456,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-PRIPREC-0027,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.123456,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-MARGPREC-0028,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100.123456,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-MAVERFMT-0029,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,v2,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-MAVERMISS-0030,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-ISDAUNKVER-0031,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2010,MTMA,false,false,1100000,USD,3M,3M,10.00
